상호명,시도명,시군구명,주소,
빽다방,서울특별시,마포구,서울특별시 마포구,6
빽다방,서울특별시,광진구,서울특별시 광진구,5
빽다방,서울특별시,용산구,서울특별시 용산구,4
빽다방,서울특별시,강동구,서울특별시 강동구,5
빽다방,서울특별시,광진구,서울특별시 광진구,5
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,은평구,서울특별시 은평구,6
빽다방,부산광역시,금정구,부산광역시 금정구,3
빽다방,서울특별시,서초구,서울특별시 서초구,9
빽다방,서울특별시,송파구,서울특별시 송파구,11
빽다방,서울특별시,영등포구,서울특별시 영등포구,6
빽다방,서울특별시,은평구,서울특별시 은평구,6
빽다방,서울특별시,동작구,서울특별시 동작구,4
빽다방,부산광역시,금정구,부산광역시 금정구,3
빽다방,서울특별시,은평구,서울특별시 은평구,6
빽다방,서울특별시,은평구,서울특별시 은평구,6
빽다방,서울특별시,송파구,서울특별시 송파구,11
빽다방,서울특별시,노원구,서울특별시 노원구,5
빽다방,부산광역시,해운대구,부산광역시 해운대구,4
빽다방,서울특별시,영등포구,서울특별시 영등포구,6
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,마포구,서울특별시 마포구,6
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,중구,서울특별시 중구,7
빽다방,부산광역시,남구,부산광역시 남구,1
빽다방,부산광역시,해운대구,부산광역시 해운대구,4
빽다방,서울특별시,동대문구,서울특별시 동대문구,5
빽다방,부산광역시,북구,부산광역시 북구,3
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,강서구,서울특별시 강서구,8
빽다방,서울특별시,서초구,서울특별시 서초구,9
빽다방,서울특별시,강동구,서울특별시 강동구,5
빽다방,서울특별시,송파구,서울특별시 송파구,11
빽다방,서울특별시,영등포구,서울특별시 영등포구,6
빽다방,서울특별시,동작구,서울특별시 동작구,4
빽다방,서울특별시,양천구,서울특별시 양천구,4
빽다방,서울특별시,마포구,서울특별시 마포구,6
빽다방,서울특별시,종로구,서울특별시 종로구,7
빽다방,서울특별시,종로구,서울특별시 종로구,7
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,부산광역시,해운대구,부산광역시 해운대구,4
빽다방,서울특별시,노원구,서울특별시 노원구,5
빽다방,서울특별시,송파구,서울특별시 송파구,11
빽다방,서울특별시,성동구,서울특별시 성동구,4
빽다방,부산광역시,부산진구,부산광역시 부산진구,3
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,마포구,서울특별시 마포구,6
빽다방,부산광역시,부산진구,부산광역시 부산진구,3
빽다방,서울특별시,영등포구,서울특별시 영등포구,6
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,광진구,서울특별시 광진구,5
빽다방,서울특별시,구로구,서울특별시 구로구,5
빽다방,서울특별시,종로구,서울특별시 종로구,7
빽다방,서울특별시,마포구,서울특별시 마포구,6
빽다방,서울특별시,구로구,서울특별시 구로구,5
빽다방,서울특별시,성북구,서울특별시 성북구,6
